rgi_id,eligible,reason
RGI2000-v7.0-G-13-33388,True,eligible
RGI2000-v7.0-G-13-33389,True,eligible
RGI2000-v7.0-G-13-33390,True,eligible
RGI2000-v7.0-G-13-33426,True,eligible
RGI2000-v7.0-G-13-33428,True,eligible
RGI2000-v7.0-G-13-33429,True,eligible
RGI2000-v7.0-G-13-33430,True,eligible
RGI2000-v7.0-G-13-33432,True,eligible
RGI2000-v7.0-G-13-33433,True,eligible
RGI2000-v7.0-G-13-33434,True,eligible
RGI2000-v7.0-G-13-33435,True,eligible
RGI2000-v7.0-G-13-33438,True,eligible
RGI2000-v7.0-G-13-33439,True,eligible
RGI2000-v7.0-G-13-33440,True,eligible
RGI2000-v7.0-G-13-33442,True,eligible
RGI2000-v7.0-G-13-33443,True,eligible
RGI2000-v7.0-G-13-33444,True,eligible
RGI2000-v7.0-G-13-33445,True,eligible
RGI2000-v7.0-G-13-33446,True,eligible
RGI2000-v7.0-G-13-33447,True,eligible
RGI2000-v7.0-G-13-33448,True,eligible
RGI2000-v7.0-G-13-33449,True,eligible
RGI2000-v7.0-G-13-33450,True,eligible
RGI2000-v7.0-G-13-33451,True,eligible
RGI2000-v7.0-G-13-33452,True,eligible
RGI2000-v7.0-G-13-33453,True,eligible
RGI2000-v7.0-G-13-33454,True,eligible
RGI2000-v7.0-G-13-33455,True,eligible
RGI2000-v7.0-G-13-33456,True,eligible
RGI2000-v7.0-G-13-33458,True,eligible
RGI2000-v7.0-G-13-33459,True,eligible
RGI2000-v7.0-G-13-33460,True,eligible
RGI2000-v7.0-G-13-33461,True,eligible
RGI2000-v7.0-G-13-33462,True,eligible
RGI2000-v7.0-G-13-33463,True,eligible
RGI2000-v7.0-G-13-33464,True,eligible
RGI2000-v7.0-G-13-33465,True,eligible
RGI2000-v7.0-G-13-33466,True,eligible
RGI2000-v7.0-G-13-33467,True,eligible
RGI2000-v7.0-G-13-33468,True,eligible
RGI2000-v7.0-G-13-33470,True,eligible
RGI2000-v7.0-G-13-33471,True,eligible
RGI2000-v7.0-G-13-33472,True,eligible
RGI2000-v7.0-G-13-33473,True,eligible
RGI2000-v7.0-G-13-33474,True,eligible
RGI2000-v7.0-G-13-33475,True,eligible
RGI2000-v7.0-G-13-33476,True,eligible
RGI2000-v7.0-G-13-33477,True,eligible
RGI2000-v7.0-G-13-33478,True,eligible
RGI2000-v7.0-G-13-33479,True,eligible
RGI2000-v7.0-G-13-33480,True,eligible
RGI2000-v7.0-G-13-33481,True,eligible
RGI2000-v7.0-G-13-33482,True,eligible
RGI2000-v7.0-G-13-33483,True,eligible
RGI2000-v7.0-G-13-33484,True,eligible
RGI2000-v7.0-G-13-33485,True,eligible
RGI2000-v7.0-G-13-33486,True,eligible
RGI2000-v7.0-G-13-33487,True,eligible
RGI2000-v7.0-G-13-33488,True,eligible
RGI2000-v7.0-G-13-33489,True,eligible
RGI2000-v7.0-G-13-33490,True,eligible
RGI2000-v7.0-G-13-33491,True,eligible
RGI2000-v7.0-G-13-33492,True,eligible
RGI2000-v7.0-G-13-33493,True,eligible
RGI2000-v7.0-G-13-33494,True,eligible
RGI2000-v7.0-G-13-33495,True,eligible
RGI2000-v7.0-G-13-33496,True,eligible
RGI2000-v7.0-G-13-33497,True,eligible
RGI2000-v7.0-G-13-33498,True,eligible
RGI2000-v7.0-G-13-33499,True,eligible
RGI2000-v7.0-G-13-33500,True,eligible
RGI2000-v7.0-G-13-33501,True,eligible
RGI2000-v7.0-G-13-33502,True,eligible
RGI2000-v7.0-G-13-33503,True,eligible
RGI2000-v7.0-G-13-33504,True,eligible
RGI2000-v7.0-G-13-33505,True,eligible
RGI2000-v7.0-G-13-33506,True,eligible
RGI2000-v7.0-G-13-33507,True,eligible
RGI2000-v7.0-G-13-33508,True,eligible
RGI2000-v7.0-G-13-33509,True,eligible
RGI2000-v7.0-G-13-33510,True,eligible
RGI2000-v7.0-G-13-33511,True,eligible
RGI2000-v7.0-G-13-33512,True,eligible
RGI2000-v7.0-G-13-33513,True,eligible
RGI2000-v7.0-G-13-33514,True,eligible
RGI2000-v7.0-G-13-33515,True,eligible
RGI2000-v7.0-G-13-33516,True,eligible
RGI2000-v7.0-G-13-33517,True,eligible
RGI2000-v7.0-G-13-33518,True,eligible
RGI2000-v7.0-G-13-33519,True,eligible
RGI2000-v7.0-G-13-33520,True,eligible
RGI2000-v7.0-G-13-33521,True,eligible
RGI2000-v7.0-G-13-33522,True,eligible
RGI2000-v7.0-G-13-33523,True,eligible
RGI2000-v7.0-G-13-33524,True,eligible
RGI2000-v7.0-G-13-33525,True,eligible
