year,source_file,sample_strategy,cloud_fraction,shadow_fraction,snow_fraction,off_glacier_snow_fraction,nodata_fraction,mean_ndsi,valid_sample_pixels,decision_status,reason,qa_method,qa_caveat
2015,data/raw/sentinel2/sentinel2_2015.tif,5x5 windows of 128px,0.03600048397755089,0.0,0.9639995160224492,,0.06317138671875,0.5520685728905813,107443,review,off-glacier snow QA unavailable,deterministic_spectral_heuristics_v1,Use provider SCL/cloud probability and a glacier mask for release-grade scene acceptance.
2016,data/raw/sentinel2/sentinel2_2016.tif,5x5 windows of 128px,0.004675870348139256,0.005114045618247299,0.016338535414165665,,0.07559481534090906,-0.3732235923531892,166600,review,off-glacier snow QA unavailable,deterministic_spectral_heuristics_v1,Use provider SCL/cloud probability and a glacier mask for release-grade scene acceptance.
2017,data/raw/sentinel2/sentinel2_2017.tif,5x5 windows of 128px,0.00031644686019563864,0.007064210790837933,0.007287585045093678,,0.06317138671875,-0.39006667773165593,107443,review,off-glacier snow QA unavailable,deterministic_spectral_heuristics_v1,Use provider SCL/cloud probability and a glacier mask for release-grade scene acceptance.
2018,data/raw/sentinel2/sentinel2_2018.tif,5x5 windows of 128px,0.30370522044246717,0.00016753069069180867,0.2467634001284402,,0.06317138671875,0.07583638274606332,107443,reject,cloud fraction exceeds protocol,deterministic_spectral_heuristics_v1,Use provider SCL/cloud probability and a glacier mask for release-grade scene acceptance.
2019,data/raw/sentinel2/sentinel2_2019.tif,5x5 windows of 128px,0.018547418967587034,0.00034813925570228093,0.04306122448979592,,0.07559481534090906,-0.3001258854969421,166600,review,off-glacier snow QA unavailable,deterministic_spectral_heuristics_v1,Use provider SCL/cloud probability and a glacier mask for release-grade scene acceptance.
2020,data/raw/sentinel2/sentinel2_2020.tif,5x5 windows of 128px,0.004687875150060024,0.003859543817527011,0.007244897959183674,,0.07559481534090906,-0.38828152917795783,166600,review,off-glacier snow QA unavailable,deterministic_spectral_heuristics_v1,Use provider SCL/cloud probability and a glacier mask for release-grade scene acceptance.
2021,data/raw/sentinel2/sentinel2_2021.tif,5x5 windows of 128px,0.0033613445378151263,0.0018547418967587036,0.0036554621848739494,,0.07559481534090906,-0.3837313010308826,166600,review,off-glacier snow QA unavailable,deterministic_spectral_heuristics_v1,Use provider SCL/cloud probability and a glacier mask for release-grade scene acceptance.
2022,data/raw/sentinel2/sentinel2_2022.tif,5x5 windows of 128px,0.002575030012004802,0.003775510204081633,0.0022869147659063623,,0.07559481534090906,-0.393936178294827,166600,review,off-glacier snow QA unavailable,deterministic_spectral_heuristics_v1,Use provider SCL/cloud probability and a glacier mask for release-grade scene acceptance.
2023,data/raw/sentinel2/sentinel2_2023.tif,5x5 windows of 128px,0.00843937575030012,0.0009423769507803121,0.003871548619447779,,0.07559481534090906,-0.3652807732774338,166600,review,off-glacier snow QA unavailable,deterministic_spectral_heuristics_v1,Use provider SCL/cloud probability and a glacier mask for release-grade scene acceptance.
2024,data/raw/sentinel2/sentinel2_2024.tif,5x5 windows of 128px,0.02765906362545018,0.0013985594237695077,0.02021608643457383,,0.07559481534090906,-0.29399948814210586,166600,review,off-glacier snow QA unavailable,deterministic_spectral_heuristics_v1,Use provider SCL/cloud probability and a glacier mask for release-grade scene acceptance.
