year,sensor,method,area_km2,glacier_pixels,total_pixels,source_file,created_at
2000,Landsat,NDSI,697.53,6975321,44871924,data/raw/landsat/landsat_2000.tif,2026-07-12T01:55:06+00:00
2000,Landsat,RF,579.08,5790837,44871924,data/raw/landsat/landsat_2000.tif,2026-07-12T01:55:06+00:00
2000,Landsat,U-Net,552.87,5528694,44871924,data/raw/landsat/landsat_2000.tif,2026-07-12T01:55:06+00:00
2003,Landsat,NDSI,841.08,8410772,44871924,data/raw/landsat/landsat_2003.tif,2026-07-12T01:55:06+00:00
2003,Landsat,RF,726.56,7265648,44871924,data/raw/landsat/landsat_2003.tif,2026-07-12T01:55:06+00:00
2003,Landsat,U-Net,642.85,6428490,44871924,data/raw/landsat/landsat_2003.tif,2026-07-12T01:55:06+00:00
2005,Landsat,NDSI,577.57,5775693,44871924,data/raw/landsat/landsat_2005.tif,2026-07-12T01:55:06+00:00
2005,Landsat,RF,577.51,5775065,44871924,data/raw/landsat/landsat_2005.tif,2026-07-12T01:55:06+00:00
2005,Landsat,U-Net,219.65,2196492,44871924,data/raw/landsat/landsat_2005.tif,2026-07-12T01:55:06+00:00
2008,Landsat,NDSI,391.13,3911320,44871924,data/raw/landsat/landsat_2008.tif,2026-07-12T01:55:06+00:00
2008,Landsat,RF,401.18,4011777,44871924,data/raw/landsat/landsat_2008.tif,2026-07-12T01:55:06+00:00
2008,Landsat,U-Net,416.23,4162266,44871924,data/raw/landsat/landsat_2008.tif,2026-07-12T01:55:06+00:00
2010,Landsat,NDSI,479.75,4797469,44871924,data/raw/landsat/landsat_2010.tif,2026-07-12T01:55:06+00:00
2010,Landsat,RF,493.38,4933779,44871924,data/raw/landsat/landsat_2010.tif,2026-07-12T01:55:06+00:00
2010,Landsat,U-Net,430.03,4300300,44871924,data/raw/landsat/landsat_2010.tif,2026-07-12T01:55:06+00:00
2013,Landsat,NDSI,412.66,4126639,44871924,data/raw/landsat/landsat_2013.tif,2026-07-12T01:55:06+00:00
2013,Landsat,RF,474.83,4748273,44871924,data/raw/landsat/landsat_2013.tif,2026-07-12T01:55:06+00:00
2013,Landsat,U-Net,108.56,1085648,44871924,data/raw/landsat/landsat_2013.tif,2026-07-12T01:55:06+00:00
2015,Sentinel-2,NDSI,1889.22,18892233,44871924,data/raw/sentinel2/sentinel2_2015.tif,2026-07-12T01:55:06+00:00
2015,Sentinel-2,RF,1875.42,18754227,44871924,data/raw/sentinel2/sentinel2_2015.tif,2026-07-12T01:55:06+00:00
2016,Sentinel-2,NDSI,459.9,4598993,44871924,data/raw/sentinel2/sentinel2_2016.tif,2026-07-12T01:55:06+00:00
2016,Sentinel-2,RF,443.43,4434301,44871924,data/raw/sentinel2/sentinel2_2016.tif,2026-07-12T01:55:06+00:00
2016,Sentinel-2,U-Net,328.81,3288094,44871924,data/raw/sentinel2/sentinel2_2016.tif,2026-07-12T01:55:06+00:00
2017,Sentinel-2,NDSI,336.39,3363892,44871924,data/raw/sentinel2/sentinel2_2017.tif,2026-07-12T01:55:06+00:00
2017,Sentinel-2,RF,324.93,3249292,44871924,data/raw/sentinel2/sentinel2_2017.tif,2026-07-12T01:55:06+00:00
2017,Sentinel-2,U-Net,196.81,1968112,44871924,data/raw/sentinel2/sentinel2_2017.tif,2026-07-12T01:55:06+00:00
2018,Sentinel-2,NDSI,968.34,9683447,44871924,data/raw/sentinel2/sentinel2_2018.tif,2026-07-12T01:55:06+00:00
2018,Sentinel-2,RF,859.19,8591940,44871924,data/raw/sentinel2/sentinel2_2018.tif,2026-07-12T01:55:06+00:00
2018,Sentinel-2,U-Net,695.52,6955179,44871924,data/raw/sentinel2/sentinel2_2018.tif,2026-07-12T01:55:06+00:00
2019,Sentinel-2,NDSI,582.73,5827287,44871924,data/raw/sentinel2/sentinel2_2019.tif,2026-07-12T01:55:06+00:00
2019,Sentinel-2,RF,532.61,5326142,44871924,data/raw/sentinel2/sentinel2_2019.tif,2026-07-12T01:55:06+00:00
2020,Sentinel-2,NDSI,420.17,4201724,44871924,data/raw/sentinel2/sentinel2_2020.tif,2026-07-12T01:55:06+00:00
2020,Sentinel-2,RF,449.55,4495545,44871924,data/raw/sentinel2/sentinel2_2020.tif,2026-07-12T01:55:06+00:00
2021,Sentinel-2,NDSI,394.17,3941692,44871924,data/raw/sentinel2/sentinel2_2021.tif,2026-07-12T01:55:06+00:00
2021,Sentinel-2,RF,382.25,3822520,44871924,data/raw/sentinel2/sentinel2_2021.tif,2026-07-12T01:55:06+00:00
2022,Sentinel-2,NDSI,367.73,3677294,44871924,data/raw/sentinel2/sentinel2_2022.tif,2026-07-12T01:55:06+00:00
2022,Sentinel-2,RF,396.41,3964067,44871924,data/raw/sentinel2/sentinel2_2022.tif,2026-07-12T01:55:06+00:00
2023,Sentinel-2,NDSI,408.84,4088437,44871924,data/raw/sentinel2/sentinel2_2023.tif,2026-07-12T01:55:06+00:00
2023,Sentinel-2,RF,383.81,3838150,44871924,data/raw/sentinel2/sentinel2_2023.tif,2026-07-12T01:55:06+00:00
2024,Sentinel-2,NDSI,470.54,4705437,44871924,data/raw/sentinel2/sentinel2_2024.tif,2026-07-12T01:55:06+00:00
2024,Sentinel-2,RF,450.47,4504749,44871924,data/raw/sentinel2/sentinel2_2024.tif,2026-07-12T01:55:06+00:00
